CD_NDG;CD_FORMA_GIURIDICA
00000001;SPA
00000011;SRL
00000012;ALT
00000013;SPA
00000015;SRL
00000016;SPA
00000017;IND
00000019;PEF
00000021;PEF
00000025;SPA
00000029;PEF
00000031;SRL
00000035;SNC
00000038;SPA
00000047;IND
00000051;SNC
00000053;SRL
00000054;SRL
00000074;ALT
00000082;IND
00000083;SPA
00000088;IND
00000091;IND
00000092;SRL
00000098;SNC
00000100;IND
00000102;ALT
00000107;SPA
00000111;SPA
00000113;SRL
00000121;ALT
00000125;SRL
00000133;SPA
00000135;SRL
00000136;SNC
00000137;SRL
00000140;SRL
00000141;SRL
00000143;SNC
00000145;SPA
00000148;SAS
00000150;SAS
00000151;SRL
00000152;IND
00000153;SS
00000154;SPA
00000155;SNC
00000169;SRL
00000175;SPA
00000181;SPA
00000188;SPA
00000189;SPA
00000200;SRL
00000203;SNC
00000209;SNC
00000210;IND
00000211;SRL
00000215;SPA
00000216;SPA
00000225;IND
00000234;IND
00000245;SPA
00000249;SAS
00000251;SRL
00000259;SRL
00000267;IND
00000280;SPA
00000289;SNC
00000299;SRL
00000300;SDF
00000302;SRL
00000308;SPA
00000319;IND
00000337;SPA
00000345;SAS
00000349;SPA
00000351;SRL
00000365;SPA
00000373;SRL
00000374;SRL
00000379;CRL
00000395;SAS
00000396;IND
00000404;PEF
00000426;SRL
00000440;SPA
00000444;SNC
00000446;SRL
00000450;SPA
00000452;SRL
00000465;PEF
00000483;SAS
00000489;IND
00000500;IND
00000512;IND
00000529;SNC
00000535;IND
00000536;SPA
00000538;SAS
00000555;IND
00000561;IND
00000565;SRL
00000570;SPA
00000590;ALT
00000607;SAS
00000617;PEF
00000629;IND
00000639;IND
00000653;SRL
00000660;IND
00000668;IND
00000676;IND
00000698;SRL
00000712;SNC
00000722;IND
00000727;IND
00000734;SRL
00000740;SRL
00000763;SNC
00000766;SPA
00000778;SAS
00000797;IND
00000807;SNC
00000810;PEF
00000826;SPA
00000827;SPA
00000828;SRL
00000840;SRL
00000846;SPA
00000847;SRL
00000851;SRL
00000852;SPA
00000858;SPA
00000862;IND
00000863;SRL
00000889;SPA
00000892;SNC
00000895;SPA
00000896;SRL
00000899;SRL
00000900;SAS
00000903;SPA
00000912;SRL
00000924;SPA
00000928;IND
00000931;IND
00000934;SRL
00000949;SRL
00000951;SPA
00000952;PEF
00000953;SRL
00000954;SNC
00000958;SRL
00000972;IND
00000977;SNC
00000981;SRL
00000983;SPA
00001006;SRL
00001012;SNC
00001013;SAS
00001020;SS
00001021;SPA
00001022;SPA
00001026;SRL
00001031;SNC
00001032;SNC
00001039;SRL
00001040;SPA
00001044;IND
00001054;SNC
00001055;SRL
00001059;SPA
00001075;IND
00001096;IND
00001110;SRL
00001111;SNC
00001112;SRL
00001139;SPA
00001140;SRL
00001144;IND
00001148;SRL
00001165;SNC
00001166;SNC
00001168;SPA
00001173;IND
00001176;SPA
00001178;SPA
00001191;SPA
00001196;SPA
00001200;IND
00001203;SRL
00001220;PEF
00001221;SRL
00001225;IND
00001231;IND
00001234;SRL
00001266;SNC
00001276;IND
00001283;SPA
00001300;SPA
00001303;IND
00001304;IND
00001308;IND
00001314;SPA
00001315;SNC
00001316;SRL
00001321;IND
00001322;SNC
00001325;SPA
00001327;SNC
00001335;SRL
00001342;SNC
00001347;SRL
00001378;SPA
00001387;PEF
00001397;SAS
00001398;SRL
00001400;IND
00001411;SRL
00001447;SRL
00001458;SPA
00001461;SPA
00001470;SPA
00001473;IND
00001484;SPA
00001501;SNC
00001509;SRL
00001525;SAS
00001531;SNC
00001538;SRL
00001548;SRL
00001549;SRL
00001568;SRL
00001571;SPA
00001572;SPA
00001576;SAS
00001577;SRL
00001590;SPA
00001600;SRL
00001608;SPA
00001623;SNC
00001652;IND
00001653;SNC
00001687;SRL
00001701;SPA
00001720;SPA
00001735;SRL
00001750;SRL
00001763;IND
00001768;CRL
00001770;SPA
00001775;SRL
00001779;SPA
00001783;SPA
00001809;SPA
00001811;SRL
00001816;IND
00001822;IND
00001827;SPA
00001837;SNC
00001841;SRL
00001863;IND
00001866;SRL
00001877;SCR
00001882;SRL
00001896;SPA
00001909;IND
00001913;SNC
00001924;IND
00001929;PEF
00001930;SPA
00001938;SPA
00001944;SDF
00001948;IND
00001959;SPA
00001965;SNC
00001974;SPA
00002000;ALT
00002006;SPA
00002012;SAS
00002014;ASS
00002022;IND
00002051;SRL
00002052;SRL
00002062;SAS
00002063;SRL
00002073;SNC
00002081;SPA
00002082;SPA
00002083;SPA
00002085;IND
00002087;SPA
00002090;SPA
00002091;SCO
00002093;SPA
00002094;SPA
00002095;SPA
00002096;SPA
00002098;SPA
00002101;SPA
00002104;SPA
00002105;SPA
00002106;SPA
00002108;SPA
00002144;IND
00002151;SPA
00002154;SPA
00002155;SCR
00002160;SCO
00002162;SPA
00002172;SPA
00002192;SPA
00002194;SAS
00002196;SPA
00002198;SPA
00002199;SPA
00002200;SPA
00002201;SPA
00002215;SCR
00002216;SCO
00002217;SCO
00002218;SPA
00002220;SCR
00002222;SCR
00002231;SCO
00002232;SPA
00002233;SPA
00002234;SPA
00002235;SCO
00002236;SCR
00002237;SPA
00002238;SPA
00002241;SPA
00002242;SCR
00002243;SPA
00002244;SPA
00002245;SCR
00002250;SCO
00002251;SCR
00002252;SPA
00002254;SCR
00002256;SPA
00002257;SPA
00002260;SPA
00002261;SPA
00002263;SPA
00002264;SCR
00002266;SPA
00002267;SCO
00002270;SPA
00002278;SCR
00002279;SCO
00002282;SCO
00002285;SRL
00002292;IND
00002296;SRL
00002298;SRL
00002299;SRL
00002314;IND
00002317;SNC
00002318;SRL
00002322;IND
00002334;SRL
00002337;SPA
00002344;SPA
00002352;SNC
00002357;SRL
00002367;SNC
00002369;SNC
00002375;SNC
00002393;SRL
00002396;SNC
00002398;SRL
00002442;SPA
00002456;PEF
00002457;IND
00002460;SNC
00002477;IND
00002486;SRL
00002502;PEF
00002508;SPA
00002513;SRL
00002534;SPA
00002537;SNC
00002540;SPA
00002542;SNC
00002543;SPA
00002550;SDF
00002573;IND
00002581;SRL
00002601;SNC
00002609;SPA
00002613;SNC
00002631;SRL
00002637;SPA
00002641;SRL
00002645;SNC
00002648;SPA
00002649;SPA
00002653;SPA
00002679;SPA
00002683;SRL
00002689;SRL
00002703;SRL
00002708;IND
00002709;SNC
00002712;SRL
00002729;SNC
00002741;SPA
00002743;SNC
00002748;SRL
00002754;SNC
00002763;IND
00002779;PA
00002799;SRL
00002801;ALT
00002823;SPA
00002844;SPA
00002850;SCR
00002859;SPA
00002860;SCR
00002877;SPA
00002901;IND
00002922;SPA
00002925;SRL
00002933;SPA
00002952;SPA
00002971;SPA
00002994;SPA
00003021;SPA
00003024;SRL
00003026;SPA
00003034;SPA
00003037;SNC
00003041;SPA
00003071;IND
00003082;PEF
00003088;PEF
00003106;SPA
00003110;SAS
00003119;SRL
00003126;PEF
00003170;IND
00003195;ALT
00003205;SRL
00003214;IND
00003216;SRL
00003232;SPA
00003239;IND
00003259;SAS
00003261;SNC
00003285;SRL
00003293;SRL
00003298;SRL
00003300;SRL
00003309;SPA
00003312;SPA
00003345;SPA
00003348;SNC
00003360;SRL
00003382;PEF
00003388;SPA
00003418;SPA
00003421;IND
00003424;SNC
00003434;SPA
00003435;SPA
00003440;SNC
00003442;SPA
00003454;SRL
00003455;SRL
00003460;SPA
00003468;SRL
00003483;SNC
00003498;SNC
00003500;SPA
00003501;SRL
00003510;SRL
00003530;IND
00003533;SPA
00003539;IND
00003542;IND
00003553;SRL
00003562;SPA
00003565;SPA
00003568;SRL
00003574;IND
00003575;IND
00003592;PEF
00003600;SPA
00003605;SPA
00003609;IND
00003624;SRL
00003629;SPA
00003636;IND
00003642;SPA
00003649;SNC
00003651;SPA
00003665;SPA
00003681;IND
